SensorName,Time,Value
Preben - Canteen Temperature,2025-02-08 09:04:55,22.47
Preben - Canteen Temperature,2025-02-08 08:59:55,22.47
Preben - Canteen Temperature,2025-02-08 08:54:52,22.47
Preben - Canteen Temperature,2025-02-08 08:49:55,22.47
Preben - Canteen Temperature,2025-02-08 08:44:54,22.46
Preben - Canteen Temperature,2025-02-08 08:39:54,22.47
Preben - Canteen Temperature,2025-02-08 08:34:55,22.47
Preben - Canteen Temperature,2025-02-08 08:29:55,22.48
Preben - Canteen Temperature,2025-02-08 08:24:49,22.48
Preben - Canteen Temperature,2025-02-08 08:19:54,22.48
Preben - Canteen Temperature,2025-02-08 08:14:55,22.48
Preben - Canteen Temperature,2025-02-08 08:09:52,22.48
Preben - Canteen Temperature,2025-02-08 08:04:54,22.48
Preben - Canteen Temperature,2025-02-08 07:59:55,22.48
Preben - Canteen Temperature,2025-02-08 07:54:55,22.48
Preben - Canteen Temperature,2025-02-08 07:49:51,22.48
Preben - Canteen Temperature,2025-02-08 07:44:55,22.48
Preben - Canteen Temperature,2025-02-08 07:39:55,22.49
Preben - Canteen Temperature,2025-02-08 07:34:53,22.49
Preben - Canteen Temperature,2025-02-08 07:29:55,22.47
Preben - Canteen Temperature,2025-02-08 07:24:55,22.5
Preben - Canteen Temperature,2025-02-08 07:19:52,22.49
Preben - Canteen Temperature,2025-02-08 07:14:51,22.49
Preben - Canteen Temperature,2025-02-08 07:09:54,22.5
Preben - Canteen Temperature,2025-02-08 07:04:55,22.5
Preben - Canteen Temperature,2025-02-08 06:59:54,22.49
Preben - Canteen Temperature,2025-02-08 06:54:54,22.5
Preben - Canteen Temperature,2025-02-08 06:49:55,22.51
Preben - Canteen Temperature,2025-02-08 06:44:54,22.5
Preben - Canteen Temperature,2025-02-08 06:39:53,22.5
Preben - Canteen Temperature,2025-02-08 06:34:53,22.5
Preben - Canteen Temperature,2025-02-08 06:29:52,22.5
Preben - Canteen Temperature,2025-02-08 06:24:51,22.5
Preben - Canteen Temperature,2025-02-08 06:19:55,22.51
Preben - Canteen Temperature,2025-02-08 06:14:55,22.5
Preben - Canteen Temperature,2025-02-08 06:09:52,22.51
Preben - Canteen Temperature,2025-02-08 06:04:55,22.5
Preben - Canteen Temperature,2025-02-08 05:59:55,22.47
Preben - Canteen Temperature,2025-02-08 05:54:55,22.51
Preben - Canteen Temperature,2025-02-08 05:49:54,22.5
Preben - Canteen Temperature,2025-02-08 05:44:51,22.51
Preben - Canteen Temperature,2025-02-08 05:39:55,22.51
Preben - Canteen Temperature,2025-02-08 05:34:54,22.5
Preben - Canteen Temperature,2025-02-08 05:29:54,22.51
Preben - Canteen Temperature,2025-02-08 05:24:54,22.5
Preben - Canteen Temperature,2025-02-08 05:19:55,22.54
Preben - Canteen Temperature,2025-02-08 05:14:53,22.5
Preben - Canteen Temperature,2025-02-08 05:09:55,22.51
Preben - Canteen Temperature,2025-02-08 05:04:55,22.51
Preben - Canteen Temperature,2025-02-08 04:59:55,22.51
Preben - Canteen Temperature,2025-02-08 04:54:55,22.51
Preben - Canteen Temperature,2025-02-08 04:49:53,22.51
Preben - Canteen Temperature,2025-02-08 04:44:52,22.51
Preben - Canteen Temperature,2025-02-08 04:39:53,22.51
Preben - Canteen Temperature,2025-02-08 04:34:51,22.53
Preben - Canteen Temperature,2025-02-08 04:29:55,22.53
Preben - Canteen Temperature,2025-02-08 04:24:55,22.53
Preben - Canteen Temperature,2025-02-08 04:19:51,22.53
Preben - Canteen Temperature,2025-02-08 04:14:52,22.54
Preben - Canteen Temperature,2025-02-08 04:09:54,22.53
Preben - Canteen Temperature,2025-02-08 04:04:55,22.53
Preben - Canteen Temperature,2025-02-08 03:59:52,22.54
Preben - Canteen Temperature,2025-02-08 03:54:54,22.53
Preben - Canteen Temperature,2025-02-08 03:49:53,22.54
Preben - Canteen Temperature,2025-02-08 03:44:53,22.54
Preben - Canteen Temperature,2025-02-08 03:39:55,22.53
Preben - Canteen Temperature,2025-02-08 03:34:50,22.54
Preben - Canteen Temperature,2025-02-08 03:29:53,22.54
Preben - Canteen Temperature,2025-02-08 03:24:54,22.54
Preben - Canteen Temperature,2025-02-08 03:19:55,22.54
Preben - Canteen Temperature,2025-02-08 03:14:55,22.54
Preben - Canteen Temperature,2025-02-08 03:09:53,22.54
Preben - Canteen Temperature,2025-02-08 03:04:55,22.55
Preben - Canteen Temperature,2025-02-08 02:59:56,22.54
Preben - Canteen Temperature,2025-02-08 02:54:54,22.55
Preben - Canteen Temperature,2025-02-08 02:49:54,22.58
Preben - Canteen Temperature,2025-02-08 02:44:53,22.55
Preben - Canteen Temperature,2025-02-08 02:39:53,22.56
Preben - Canteen Temperature,2025-02-08 02:34:55,22.55
Preben - Canteen Temperature,2025-02-08 02:29:55,22.55
Preben - Canteen Temperature,2025-02-08 02:24:53,22.56
Preben - Canteen Temperature,2025-02-08 02:19:54,22.57
Preben - Canteen Temperature,2025-02-08 02:14:54,22.56
Preben - Canteen Temperature,2025-02-08 02:09:55,22.56
Preben - Canteen Temperature,2025-02-08 02:04:54,22.57
Preben - Canteen Temperature,2025-02-08 01:59:55,22.57
Preben - Canteen Temperature,2025-02-08 01:54:54,22.62
Preben - Canteen Temperature,2025-02-08 01:49:55,22.58
Preben - Canteen Temperature,2025-02-08 01:44:53,22.58
Preben - Canteen Temperature,2025-02-08 01:39:52,22.58
Preben - Canteen Temperature,2025-02-08 01:34:56,22.58
Preben - Canteen Temperature,2025-02-08 01:29:53,22.58
Preben - Canteen Temperature,2025-02-08 01:24:56,22.58
Preben - Canteen Temperature,2025-02-08 01:19:55,22.58
Preben - Canteen Temperature,2025-02-08 01:14:53,22.58
Preben - Canteen Temperature,2025-02-08 01:09:53,22.59
Preben - Canteen Temperature,2025-02-08 01:04:54,22.58
Preben - Canteen Temperature,2025-02-08 00:59:53,22.59
Preben - Canteen Temperature,2025-02-08 00:54:53,22.59
Preben - Canteen Temperature,2025-02-08 00:49:54,22.59
Preben - Canteen Temperature,2025-02-08 00:44:54,22.59
Preben - Canteen Temperature,2025-02-08 00:39:53,22.59
Preben - Canteen Temperature,2025-02-08 00:34:55,22.59
Preben - Canteen Temperature,2025-02-08 00:29:54,22.59
Preben - Canteen Temperature,2025-02-08 00:24:54,22.59
Preben - Canteen Temperature,2025-02-08 00:19:53,22.59
Preben - Canteen Temperature,2025-02-08 00:14:54,22.59
Preben - Canteen Temperature,2025-02-08 00:09:55,22.62
Preben - Canteen Temperature,2025-02-08 00:04:53,22.59
Preben - Meeting Room 434 Temperature,2025-02-08 23:59:54,22.43
Preben - Meeting Room 434 Temperature,2025-02-08 23:54:52,22.43
Preben - Meeting Room 434 Temperature,2025-02-08 23:49:14,22.43
Preben - Meeting Room 434 Temperature,2025-02-08 23:44:44,22.43
Preben - Meeting Room 434 Temperature,2025-02-08 23:39:49,22.43
Preben - Meeting Room 434 Temperature,2025-02-08 23:34:54,22.44
Preben - Meeting Room 434 Temperature,2025-02-08 23:29:33,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 23:24:50,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 23:19:51,22.44
Preben - Meeting Room 434 Temperature,2025-02-08 23:14:47,22.44
Preben - Meeting Room 434 Temperature,2025-02-08 23:09:54,22.44
Preben - Meeting Room 434 Temperature,2025-02-08 23:04:40,22.44
Preben - Meeting Room 434 Temperature,2025-02-08 22:59:55,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 22:54:53,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 22:49:47,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 22:44:13,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 22:39:52,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 22:34:48,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 22:29:46,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 22:24:53,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 22:19:14,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 22:14:45,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 22:09:55,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 22:04:48,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 21:59:52,22.46
Preben - Meeting Room 434 Temperature,2025-02-08 21:54:32,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 21:49:52,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 21:44:22,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 21:39:42,22.44
Preben - Meeting Room 434 Temperature,2025-02-08 21:34:46,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 21:29:39,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 21:24:53,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 21:19:33,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 21:14:54,22.47
Preben - Meeting Room 434 Temperature,2025-02-08 21:09:47,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 21:04:02,22.47
Preben - Meeting Room 434 Temperature,2025-02-08 20:59:47,22.47
Preben - Meeting Room 434 Temperature,2025-02-08 20:54:49,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 20:49:53,22.47
Preben - Meeting Room 434 Temperature,2025-02-08 20:44:49,22.47
Preben - Meeting Room 434 Temperature,2025-02-08 20:39:50,22.47
Preben - Meeting Room 434 Temperature,2025-02-08 20:34:46,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 20:29:45,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 20:24:19,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 20:19:34,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 20:14:41,22.49
Preben - Meeting Room 434 Temperature,2025-02-08 20:09:45,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 20:04:49,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 19:59:53,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 19:54:49,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 19:49:34,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 19:44:36,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 19:39:48,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 19:34:44,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 19:29:24,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 19:24:49,22.49
Preben - Meeting Room 434 Temperature,2025-02-08 19:19:46,22.49
Preben - Meeting Room 434 Temperature,2025-02-08 19:14:27,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 19:09:51,22.48
Preben - Meeting Room 434 Temperature,2025-02-08 19:04:52,22.49
Preben - Meeting Room 434 Temperature,2025-02-08 18:59:53,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 18:54:23,22.49
Preben - Meeting Room 434 Temperature,2025-02-08 18:49:37,22.5
Preben - Meeting Room 434 Temperature,2025-02-08 18:44:39,22.49
Preben - Meeting Room 434 Temperature,2025-02-08 18:39:43,22.49
Preben - Meeting Room 434 Temperature,2025-02-08 18:34:44,22.45
Preben - Meeting Room 434 Temperature,2025-02-08 18:29:40,22.5
Preben - Meeting Room 434 Temperature,2025-02-08 18:24:39,22.5
Preben - Meeting Room 434 Temperature,2025-02-08 18:19:46,22.5
Preben - Meeting Room 434 Temperature,2025-02-08 18:14:38,22.49
Preben - Meeting Room 434 Temperature,2025-02-08 18:09:43,22.49
Preben - Meeting Room 434 Temperature,2025-02-08 18:04:31,22.49
Preben - Meeting Room 434 Temperature,2025-02-08 17:59:22,22.5
Preben - Meeting Room 434 Temperature,2025-02-08 17:54:39,22.5
Preben - Meeting Room 434 Temperature,2025-02-08 17:49:41,22.51
Preben - Meeting Room 434 Temperature,2025-02-08 17:44:54,22.5
Preben - Meeting Room 434 Temperature,2025-02-08 17:39:38,22.51
Preben - Meeting Room 434 Temperature,2025-02-08 17:34:26,22.51
Preben - Meeting Room 434 Temperature,2025-02-08 17:29:51,22.52
Preben - Meeting Room 434 Temperature,2025-02-08 17:24:45,22.51
Preben - Meeting Room 434 Temperature,2025-02-08 17:19:06,22.51
Preben - Meeting Room 434 Temperature,2025-02-08 17:14:27,22.52
Preben - Meeting Room 434 Temperature,2025-02-08 17:09:38,22.52
Preben - Meeting Room 434 Temperature,2025-02-08 17:04:34,22.52
Preben - Meeting Room 434 Temperature,2025-02-08 16:59:41,22.52
Preben - Meeting Room 434 Temperature,2025-02-08 16:54:48,22.53
Preben - Meeting Room 434 Temperature,2025-02-08 16:49:39,22.53
Preben - Meeting Room 434 Temperature,2025-02-08 16:44:45,22.53
Preben - Meeting Room 434 Temperature,2025-02-08 16:39:49,22.53
Preben - Meeting Room 434 Temperature,2025-02-08 16:34:32,22.53
Preben - Meeting Room 434 Temperature,2025-02-08 16:29:53,22.53
Preben - Meeting Room 434 Temperature,2025-02-08 16:24:26,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 16:19:39,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 16:14:54,22.53
Preben - Meeting Room 434 Temperature,2025-02-08 16:09:39,22.53
Preben - Meeting Room 434 Temperature,2025-02-08 16:04:35,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 15:59:56,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 15:54:49,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 15:49:55,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 15:44:46,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 15:39:48,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 15:34:32,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 15:29:39,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 15:24:54,22.59
Preben - Meeting Room 434 Temperature,2025-02-08 15:19:53,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 15:14:54,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 15:09:50,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 15:04:46,22.59
Preben - Meeting Room 434 Temperature,2025-02-08 14:59:48,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 14:54:45,22.59
Preben - Meeting Room 434 Temperature,2025-02-08 14:49:32,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 14:44:54,22.59
Preben - Meeting Room 434 Temperature,2025-02-08 14:39:53,22.59
Preben - Meeting Room 434 Temperature,2025-02-08 14:34:52,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 14:29:48,22.59
Preben - Meeting Room 434 Temperature,2025-02-08 14:24:17,22.59
Preben - Meeting Room 434 Temperature,2025-02-08 14:19:53,22.6
Preben - Meeting Room 434 Temperature,2025-02-08 14:14:47,22.59
Preben - Meeting Room 434 Temperature,2025-02-08 14:09:48,22.59
Preben - Meeting Room 434 Temperature,2025-02-08 14:04:20,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 13:59:46,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 13:54:50,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 13:49:35,22.59
Preben - Meeting Room 434 Temperature,2025-02-08 13:44:52,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 13:39:53,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 13:34:39,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 13:29:46,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 13:24:45,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 13:19:51,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 13:14:44,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 13:09:48,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 13:04:23,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 12:59:49,22.6
Preben - Meeting Room 434 Temperature,2025-02-08 12:54:55,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 12:49:43,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 12:44:45,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 12:38:31,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 12:34:53,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 12:29:44,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 12:24:37,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 12:19:46,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 12:14:39,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 12:09:46,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 12:04:38,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 11:59:49,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 11:54:29,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 11:49:54,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 11:44:48,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 11:39:50,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 11:34:48,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 11:29:42,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 11:24:40,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 11:19:52,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 11:14:48,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 11:09:55,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 11:04:35,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 10:59:14,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 10:54:51,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 10:49:44,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 10:44:45,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 10:39:33,22.51
Preben - Meeting Room 434 Temperature,2025-02-08 10:34:33,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 10:29:18,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 10:24:54,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 10:19:50,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 10:14:43,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 10:09:53,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 10:04:54,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 09:59:53,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 09:54:49,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 09:49:53,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 09:44:43,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 09:39:53,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 09:34:55,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 09:24:52,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 09:19:40,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 09:14:44,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 09:09:43,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 09:04:44,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 08:59:37,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 08:54:41,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 08:49:54,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 08:44:45,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 08:39:38,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 08:34:55,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 08:29:35,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 08:24:50,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 08:19:32,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 08:14:40,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 08:09:46,22.55
Preben - Meeting Room 434 Temperature,2025-02-08 08:04:37,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 07:59:51,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 07:54:50,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 07:49:52,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 07:44:50,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 07:39:52,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 07:34:34,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 07:29:54,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 07:24:23,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 07:19:43,22.56
Preben - Meeting Room 434 Temperature,2025-02-08 07:14:43,22.54
Preben - Meeting Room 434 Temperature,2025-02-08 07:09:54,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 07:04:53,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 06:59:46,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 06:54:50,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 06:49:55,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 06:44:40,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 06:39:15,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 06:34:43,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 06:29:44,22.57
Preben - Meeting Room 434 Temperature,2025-02-08 06:24:54,22.58
Preben - Meeting Room 434 Temperature,2025-02-08 06:19:55,22.58
